product_id,customer_id,time_id,list_price,customer_price,base_price,promo_price
4,4,60,2.75,2.6,2.4,2.4
4,5,1,2.65,2.5,2.3,2.3
4,5,32,2.68,2.53,2.33,2.33
4,5,60,2.7,2.55,2.35,2.35
4,6,1,2.67,2.52,2.32,2.32
4,6,32,2.7,2.55,2.35,2.35
4,6,60,2.72,2.57,2.37,2.37
4,15,1,2.55,2.4,2.2,2.2
4,15,32,2.58,2.43,2.23,2.23
4,15,60,2.6,2.45,2.25,2.25
4,16,1,2.57,2.42,2.22,2.22
4,16,32,2.6,2.45,2.25,2.25
4,16,60,2.62,2.47,2.27,2.27
5,4,1,2.35,2.2,2.0,2.0
5,4,32,2.38,2.23,2.03,2.03
5,4,60,2.4,2.25,2.05,2.05
5,5,1,2.3,2.15,1.95,1.95
5,5,32,2.33,2.18,1.98,1.98
5,5,60,2.34,2.19,1.99,1.99
5,6,1,2.32,2.17,1.97,1.97
5,6,32,2.35,2.2,2.0,2.0
5,6,60,2.36,2.21,2.01,2.01
5,15,1,2.2,2.05,1.85,1.85
5,15,32,2.23,2.08,1.88,1.88
5,15,60,2.25,2.1,1.9,1.9
5,16,1,2.22,2.07,1.87,1.87
5,16,32,2.25,2.1,1.9,1.9
5,16,60,2.27,2.12,1.92,1.92
6,4,1,2.1,1.95,1.75,1.75
6,4,32,2.12,1.97,1.77,1.77
6,4,60,2.14,1.99,1.79,1.79
6,5,1,2.05,1.9,1.7,1.7
6,5,32,2.07,1.92,1.72,1.72
6,5,60,2.09,1.94,1.74,1.74
6,6,1,2.07,1.92,1.72,1.72
6,6,32,2.09,1.94,1.74,1.74
6,6,60,2.11,1.96,1.76,1.76
6,15,1,1.95,1.8,1.6,1.6
6,15,32,1.97,1.82,1.62,1.62
6,15,60,1.99,1.84,1.64,1.64
6,16,1,1.97,1.82,1.62,1.62
6,16,32,1.99,1.84,1.64,1.64
6,16,60,2.01,1.86,1.66,1.66
7,4,1,1.95,1.8,1.6,1.6
7,4,32,1.97,1.82,1.62,1.62
7,4,60,1.99,1.84,1.64,1.64
7,5,1,1.9,1.75,1.55,1.55
7,5,32,1.92,1.77,1.57,1.57
7,5,60,1.94,1.79,1.59,1.59
7,6,1,1.92,1.77,1.57,1.57
7,6,32,1.94,1.79,1.59,1.59
7,6,60,1.96,1.81,1.61,1.61
7,15,1,1.8,1.65,1.45,1.45
7,15,32,1.82,1.67,1.47,1.47
7,15,60,1.84,1.69,1.49,1.49
7,16,1,1.82,1.67,1.47,1.47
7,16,32,1.84,1.69,1.49,1.49
7,16,60,1.86,1.71,1.51,1.51
8,4,1,2.2,2.05,1.85,1.85
8,4,32,2.23,2.08,1.88,1.88
8,4,60,2.24,2.09,1.89,1.89
8,5,1,2.15,2.0,1.8,1.8
8,5,32,2.18,2.03,1.83,1.83
8,5,60,2.19,2.04,1.84,1.84
8,6,1,2.17,2.02,1.82,1.82
8,6,32,2.2,2.05,1.85,1.85
8,6,60,2.21,2.06,1.86,1.86
8,15,1,2.05,1.9,1.7,1.7
8,15,32,2.08,1.93,1.73,1.73
8,15,60,2.09,1.94,1.74,1.74
8,16,1,2.07,1.92,1.72,1.72
8,16,32,2.1,1.95,1.75,1.75
8,16,60,2.11,1.96,1.76,1.76
9,4,1,4.3,4.15,3.95,3.95
9,4,32,4.35,4.2,4.0,4.0
9,4,60,4.38,4.23,4.03,4.03
9,5,1,4.25,4.1,3.9,3.9
9,5,32,4.3,4.15,3.95,3.95
9,5,60,4.33,4.18,3.98,3.98
9,6,1,4.27,4.12,3.92,3.92
9,6,32,4.32,4.17,3.97,3.97
9,6,60,4.35,4.2,4.0,4.0
9,15,1,4.15,4.0,3.8,3.8
9,15,32,4.2,4.05,3.85,3.85
9,15,60,4.23,4.08,3.88,3.88
9,16,1,4.17,4.02,3.82,3.82
9,16,32,4.22,4.07,3.87,3.87
9,16,60,4.25,4.1,3.9,3.9
10,4,1,4.6,4.45,4.25,4.25
10,4,32,4.65,4.5,4.3,4.3
10,4,60,4.69,4.54,4.34,4.34
10,5,1,4.55,4.4,4.2,4.2
10,5,32,4.6,4.45,4.25,4.25
10,5,60,4.64,4.49,4.29,4.29
10,6,1,4.57,4.42,4.22,4.22
10,6,32,4.62,4.47,4.27,4.27
10,6,60,4.66,4.51,4.31,4.31
10,15,1,4.45,4.3,4.1,4.1
10,15,32,4.5,4.35,4.15,4.15
10,15,60,4.54,4.39,4.19,4.19
10,16,1,4.47,4.32,4.12,4.12
10,16,32,4.52,4.37,4.17,4.17
10,16,60,4.56,4.41,4.21,4.21
